40 	 50 	 33 	 3
12 	 30 	 56 	 57
14 	 22 	 81 	 64
16 	 10 	 100 	 115
18 	 39 	 74 	 45
20 	 33 	 73 	 73
22 	 84 	 87 	 94
24 	 102 	 58 	 44
26 	 57 	 94 	 98
28 	 75 	 40 	 72
30 	 56 	 46 	 108
32 	 53 	 44 	 47
34 	 78 	 62 	 50
36 	 107 	 53 	 109
38 	 104 	 44 	 42
40 	 91 	 115 	 114
42 	 87 	 72 	 94
44 	 74 	 59 	 97
46 	 20 	 118 	 76
48 	 57 	 68 	 48
50 	 41 	 66 	 53
52 	 106 	 104 	 54
54 	 107 	 42 	 117
56 	 105 	 66 	 81
58 	 106 	 88 	 83
60 	 98 	 95 	 117
62 	 115 	 75 	 54
64 	 51 	 76 	 97
66 	 57 	 88 	 94
68 	 61 	 60 	 95
70 	 100 	 90 	 102
72 	 102 	 116 	 73
74 	 20 	 89 	 117
76 	 98 	 109 	 67
78 	 63 	 97 	 73
80 	 95 	 120 	 66
82 	 96 	 99 	 90
84 	 96 	 84 	 100
86 	 97 	 101 	 48
88 	 61 	 72 	 57
90 	 107 	 92 	 44
92 	 58 	 103 	 104
94 	 120 	 70 	 68
96 	 71 	 76 	 59
98 	 80 	 91 	 101
