254,331,334,3
26732,-68,-41,-54
26834,-103,-19,-29
26936,-62,-21,-37
27038,-75,-22,-24
27140,-20,-28,-23
27242,-75,-44,-32
27344,-39,-56,-59
27446,-12,-44,-53
27548,-13,-45,-50
27650,-7,-35,-41
27752,-44,-35,-45
27854,-1,-21,-9
27955,-7,-81,-53
28057,-14,-34,-44
28160,-16,-32,-36
28262,2,-18,-52
28364,-34,-45,-59
28466,-26,-36,-45
28568,-20,-29,-43
28670,-29,-33,-46
28771,-32,-45,-46
28873,-76,-12,-41
28975,-28,-16,-34
29077,-23,-33,-37
29179,-14,-32,-36
29281,-26,-35,-38
29383,-12,-46,-41
29485,-56,-19,-55
29587,-20,-34,-49
29689,-19,-26,-46
29790,-13,-39,-46
29892,-45,-43,-57
29995,-88,-37,-36
30097,-11,-33,-40
30198,-18,-32,-40
30300,-19,-30,-37
30402,-36,-46,-40
30504,-18,-14,-27
30605,17,-45,-28
30707,-13,-31,-43
30809,-9,-36,-46
30911,-16,-41,-46
31013,-11,18,-31
31115,180,-23,-66
31217,-10,-30,-39
31319,-9,-31,-35
31421,-8,-30,-39
31523,10,-37,-35
31625,26,-24,-56
31727,-11,-32,-54
31830,-15,-35,-46
31932,-13,-26,-46
32034,83,-19,-63
32135,-6,-58,-2
32237,2,-24,-42
32339,-19,-27,-31
32441,-33,-32,-36
32543,-30,-22,-25
32645,7,-35,-39
32747,-22,-39,-46
32849,-27,-36,-42
32951,-28,-36,-53
33053,-22,17,-44
33155,125,-75,-61
33257,-26,-27,-38
33359,-21,-36,-37
33461,-32,-37,-31
33563,-14,-16,-24
33665,10,-48,-11
33767,-16,-1,-41
33869,-13,-39,-44
33971,-20,-34,-46
34073,-35,-26,-39
34176,27,-20,-54
34277,20,-23,-36
34379,-10,-35,-34
34480,-7,-37,-37
34582,-2,-28,-33
34684,-47,-38,-33
34786,-69,-22,-51
34888,-18,-29,-43
34990,-10,-36,-44
35092,-16,-28,-52
35194,-26,-20,-56
35296,-109,-17,-4
35398,-17,-31,-38
35500,-12,-34,-39
35602,-8,-30,-32
35704,-24,-34,-32
35806,-35,-23,-42
35908,-39,-31,-45
36011,-44,-34,-45
36112,-32,-31,-48
36214,-17,-48,-32
36315,-14,-25,-40
36417,-5,-22,-61
36519,-26,-31,-36
36621,-32,-30,-33
36723,-32,-29,-28
36825,-23,-38,-29
36927,-48,-34,-38
37029,-55,-39,-42
37130,-40,-30,-39
37232,-57,-29,-53
37334,-33,-29,-37
37436,-61,21,-44
37538,7,-42,-37
37640,-10,-27,-29
37742,-24,-29,-31
37844,9,-27,-35
37947,-14,-62,-40
38049,-23,-39,-47
38150,-12,-27,-53
38252,-8,-40,-47
38354,-4,-49,-36
38456,-2,-71,-26
38558,31,-68,-28
38660,39,-25,-39
38762,-11,-35,-42
38864,-12,-26,-40
38966,-15,-6,-30
39068,19,-42,-53
39170,-20,-35,-46
39272,-11,-31,-49
39374,2,-25,-43
39476,79,-51,-79
39578,-47,-18,-61
39680,-14,-33,-46
39782,-13,-33,-34
39884,-8,-39,-38
39986,-15,-36,-38
40088,-13,-52,-39
40190,-14,-35,-39
40293,-13,-39,-51
40394,-16,-47,-52
40496,-30,-56,-38
40598,-6,-7,-44
40700,-10,-37,-39
40802,-11,-33,-37
40904,-14,-27,-29
41006,-23,-40,-21
41108,-71,-36,-37
41210,-30,-36,-45
41311,-19,-24,-46
41413,-42,-25,-48
41515,-15,-30,-40
41617,49,7,-26
41719,-14,-15,-20
41821,-35,-26,-36
41923,-13,-30,-35
42025,-21,-31,-23
42128,-2,-9,-30
42229,-53,-17,-32
42331,-69,-36,-49
42433,-58,-26,-40
42535,-53,-13,-40
42637,70,-47,3
42739,-115,-43,-38
42841,-68,-35,-34
42943,-53,-34,-32
43045,-40,-37,-40
43147,-40,-51,-41
43249,-27,-30,-29
43351,-21,-36,-50
43453,-8,-37,-49
43555,-40,-43,-42
43657,27,15,-83
43759,-32,-29,-28
43862,-32,-14,-33
43963,-13,-35,-36
44065,-17,-33,-32
44166,-27,-31,-28
44268,-48,-41,-30
44370,-60,-27,-42
44472,-15,-27,-46
44574,-18,-28,-50
44676,-41,-27,-45
44778,-73,-53,-66
44880,-113,-12,-28
44981,-46,-15,-35
45083,-60,-30,-30
45185,-43,-27,-31
45287,-38,-26,-24
45389,13,2,-41
45491,-7,-22,-40
45593,-9,-35,-46
45696,-32,-35,-53
45798,-57,-72,-53
45900,-29,-23,-70
46002,-1,-33,-41
46104,-10,-34,-28
46206,-13,-31,-33
46307,-19,-29,-32
46409,-46,-33,-23
46511,-54,-32,-57
46613,-18,-27,-44
46715,-28,-32,-46
46817,-17,-29,-40
46919,65,-14,-52
47021,-35,-7,-73
47123,-1,-24,-36
47225,-15,-32,-37
47327,-14,-32,-30
47429,-34,-37,-37
47531,-36,-54,-40
47633,-15,-31,-50
47735,-23,-33,-45
47836,-2,-36,-48
47938,-7,-26,-43
48040,-15,-16,-41
48142,-42,-30,-37
48244,-36,-35,-34
48346,-11,-31,-32
48448,-20,-29,-27
48550,-2,-25,-46
48652,20,-31,-48
48754,-17,-33,-44
48856,-17,-40,-48
48958,-2,-28,-40
49060,-23,-33,-20
49162,2,-22,-12
49264,-3,-22,-36
49366,-11,-38,-35
49468,-25,-31,-29
49570,12,-42,-37
49672,19,-17,-39
49774,-27,-32,-44
49876,-14,-37,-50
49977,-3,-28,-46
50079,15,-48,-45
50181,-45,-6,-27
50283,-46,-37,-43
50385,-10,-35,-37
50487,-34,-28,-36
50589,28,-60,-29
50691,-9,-29,-15
50793,-16,-31,-42
50895,-22,-33,-43
50997,-27,-32,-48
51099,-8,-33,-53
51201,-32,-23,-33
51303,-4,-40,-38
51405,-36,-25,-35
51507,-14,-31,-32
51609,-48,-44,-44
51712,-63,-20,-26
51813,-78,-43,-36
51915,-30,-25,-50
52016,-33,-33,-43
52118,-25,-30,-41
52220,-79,-52,-53
52322,-55,-40,-56
52424,-47,-26,-33
52526,-24,-33,-33
52628,-27,-35,-36
52730,-22,-20,-21
52831,-25,-56,-38
52933,-62,-36,-28
53035,-4,-22,-45
53137,-31,-35,-47
53239,-33,-41,-46
53341,-25,-29,-38
53443,7,-44,7
53545,-27,-31,-37
53648,-28,-27,-34
53750,-14,-29,-30
53851,-28,-31,-21
53953,-47,-15,-44
54055,-30,-21,-43
54157,-30,-32,-47
54259,-15,-34,-47
54361,-125,-34,-56
54463,-39,-39,-25
54565,-4,-26,-39
54666,-25,-28,-37
54768,-28,-29,-35
54870,-53,-29,-31
54972,-25,-27,-23
55074,-38,-33,-47
55176,-54,-29,-44
55278,-48,-28,-41
